time_s,voltage_V,current_A,soc_thuc,,,,,
43817.107,3.272,0,-0.006235,,,,,-1207.482
43818.114,3.272,-0.3,-0.006235,,,,,-1207.482
43819.117,3.276,0,-0.006235,,,,,-1207.482
43820.108,3.276,0,-0.006235,,,,,-1207.482
43821.11,3.272,0.1,-0.006235,,,,,-1207.482
43822.112,3.276,0,-0.006235,,,,,-1207.482
43823.116,3.276,0,-0.006235,,,,,-1207.482
43824.105,3.272,-0.2,-0.006235,,,,,-1207.482
43825.11,3.272,-0.1,-0.006235,,,,,-1207.482
43826.116,3.268,0.1,-0.006235,,,,,-1207.482
43827.107,3.272,0,-0.006235,,,,,-1207.482
43828.11,3.272,0.3,-0.006235,,,,,-1207.482
43829.116,3.272,-0.2,-0.006235,,,,,-1207.482
43830.107,3.272,-0.1,-0.006235,,,,,-1207.482
43831.113,3.272,0.3,-0.006235,,,,,-1207.482
43832.104,3.272,0.2,-0.006235,,,,,-1207.482
43833.113,3.272,0,-0.006235,,,,,-1207.482
43834.105,3.272,-0.2,-0.006235,,,,,-1207.482
43835.109,3.276,0.2,-0.006235,,,,,-1207.482
43836.114,3.272,0,-0.006235,,,,,-1207.482
43837.104,3.272,0,-0.006235,,,,,-1207.482
43838.11,3.272,0,-0.006235,,,,,-1207.482
43839.117,3.272,0.1,-0.006235,,,,,-1207.482
43840.109,3.272,0.1,-0.006235,,,,,-1207.482
43841.114,3.272,0.2,-0.006235,,,,,-1207.482
43842.117,3.276,0,-0.006235,,,,,-1207.482
43843.102,3.272,0.3,-0.006235,,,,,-1207.482
43844.115,3.272,0.1,-0.006235,,,,,-1207.482
43845.117,3.272,-0.1,-0.006235,,,,,-1207.482
43846.116,3.276,0.2,-0.006235,,,,,-1207.482
43847.117,3.272,0,-0.006235,,,,,-1207.482
43848.108,3.268,0,-0.006235,,,,,-1207.482
43849.111,3.272,-0.1,-0.006235,,,,,-1207.482
43850.113,3.272,-0.1,-0.006235,,,,,-1207.482
43851.114,3.272,0,-0.006235,,,,,-1207.482
43852.101,3.272,0.2,-0.006235,,,,,-1207.482
43853.108,3.272,0.1,-0.006235,,,,,-1207.482
43854.114,3.272,0,-0.006235,,,,,-1207.482
43855.104,3.272,0,-0.006235,,,,,-1207.482
43856.11,3.272,0,-0.006235,,,,,-1207.482
43857.117,3.272,0.1,-0.006235,,,,,-1207.482
43858.102,3.272,0,-0.006235,,,,,-1207.482
43859.109,3.272,0,-0.006235,,,,,-1207.482
43860.115,3.272,0,-0.006235,,,,,-1207.482
43861.107,3.272,0.3,-0.006235,,,,,-1207.482
43862.109,3.272,0,-0.006235,,,,,-1207.482
43863.112,3.272,-0.1,-0.006235,,,,,-1207.482
43864.116,3.272,0,-0.006235,,,,,-1207.482
43865.102,3.272,0,-0.006235,,,,,-1207.482
43866.106,3.272,0,-0.006235,,,,,-1207.482
43867.106,3.276,0.1,-0.006235,,,,,-1207.482
43868.112,3.272,0,-0.006235,,,,,-1207.482
43869.116,3.276,0,-0.006235,,,,,-1207.482
43870.104,3.272,-0.1,-0.006235,,,,,-1207.482
43871.111,3.272,-0.4,-0.006235,,,,,-1207.482
43872.116,3.272,0,-0.006235,,,,,-1207.482
43873.108,3.276,0.1,-0.006235,,,,,-1207.482
43874.114,3.272,0,-0.006235,,,,,-1207.482
43875.102,3.272,-0.3,-0.006235,,,,,-1207.482
43876.11,3.272,0,-0.006235,,,,,-1207.482
43877.116,3.272,0.1,-0.006235,,,,,-1207.482
43878.102,3.272,0,-0.006235,,,,,-1207.482
43879.106,3.272,-0.2,-0.006235,,,,,-1207.482
43880.111,3.272,-0.1,-0.006235,,,,,-1207.482
43881.104,3.272,0.1,-0.006235,,,,,-1207.482
43882.11,3.272,0,-0.006235,,,,,-1207.482
43883.114,3.272,0.1,-0.006235,,,,,-1207.482
43884.105,3.272,0.2,-0.006235,,,,,-1207.482
43885.108,3.272,-0.1,-0.006235,,,,,-1207.482
43886.114,3.272,-0.3,-0.006235,,,,,-1207.482
43887.103,3.272,0,-0.006235,,,,,-1207.482
43888.109,3.272,-0.1,-0.006235,,,,,-1207.482
43889.111,3.272,0.1,-0.006235,,,,,-1207.482
43890.109,3.272,0.2,-0.006235,,,,,-1207.482
43891.108,3.276,0,-0.006235,,,,,-1207.482
43892.108,3.276,0,-0.006235,,,,,-1207.482
43893.109,3.276,0.3,-0.006235,,,,,-1207.482
